Type,Md1,Md2,Md3,Md4,Mc1,Mc2,Mc3,Md5,Md6,Mc4,Mc5
A100-3-263,1,1,0,1,1,1,0,1,1,0,0
A100-3-264,1,1,1,1,1,1,0,1,1,1,1
A100-3-265,1,1,1,1,1,1,0,1,1,1,0
A100-3-266,1,1,0,1,1,1,0,1,1,0,1
A100-3-267,1,1,1,1,1,1,0,1,1,0,0
A100-3-268,1,1,0,1,1,1,1,1,1,1,1
A100-3-269,1,1,0,1,1,1,0,1,1,0,0
A100-3-27,1,1,1,1,1,1,1,1,1,1,0
A100-3-270,1,1,1,1,1,1,0,1,1,0,0
A100-3-271,1,1,1,1,1,1,0,1,1,0,1
A100-3-272,1,1,0,1,1,1,1,1,1,1,1
A100-3-273,1,1,0,1,1,1,0,1,1,0,1
A100-3-274,1,1,0,1,1,1,1,1,1,1,1
A100-3-275,1,1,1,1,1,1,1,1,1,1,1
A100-3-276,1,1,1,1,1,1,1,1,1,0,1
A100-3-277,1,1,1,1,1,1,0,1,1,1,1
A100-3-278,1,1,1,1,1,1,0,1,1,0,1
A100-3-279,1,1,0,1,1,1,0,1,1,1,1
A100-3-28,1,1,0,1,1,1,0,1,1,1,0
A100-3-280,1,1,0,1,1,1,1,1,1,1,1
A100-3-281,1,1,0,1,1,1,0,1,1,0,0
A100-3-282,1,1,0,1,1,1,0,1,1,0,1
A100-3-283,1,1,0,1,1,1,1,1,1,1,0
A100-3-284,1,1,1,1,1,1,0,1,1,1,1
A100-3-285,1,1,1,1,1,1,1,1,1,1,0
A100-3-286,1,1,1,1,1,1,0,1,1,1,1
A100-3-287,1,1,0,1,1,1,0,1,1,0,0
A100-3-288,1,1,1,1,1,1,1,1,1,0,1
A100-3-289,1,1,0,1,1,1,1,1,1,0,1
A100-3-29,1,1,0,1,1,1,0,1,1,1,1
A100-3-290,1,1,1,1,1,1,1,1,1,1,0
A100-3-291,1,1,1,1,1,1,0,1,1,0,1
A100-3-292,1,1,1,1,1,1,0,1,1,1,1
A100-3-293,1,1,0,1,1,1,1,1,1,0,1
